,datetime,close,id,prct_close,close_dji
0,2020-01-02,28868.80078,0,,28868.80078
1,2020-01-03,28634.88086,1,-0.008102862387067256,28634.88086
2,2020-01-06,28703.38086,2,0.0023921873583099273,28703.38086
3,2020-01-07,28583.679689999997,3,-0.004170281214740612,28583.679689999997
4,2020-01-08,28745.089839999997,4,0.005646933906010343,28745.089839999997
5,2020-01-09,28956.90039,5,0.007368581944915631,28956.90039
6,2020-01-10,28823.76953,6,-0.004597552162246332,28823.76953
7,2020-01-13,28907.05078,7,0.0028893254198871787,28907.05078
8,2020-01-14,28939.66992,8,0.0011284146642371873,28939.66992
9,2020-01-15,29030.2207,9,0.0031289499932209974,29030.2207
10,2020-01-16,29297.64062,10,0.009211777022418488,29297.64062
11,2020-01-17,29348.09961,11,0.0017222885164873691,29348.09961
12,2020-01-21,29196.039060000003,12,-0.005181274154739013,29196.039060000003
13,2020-01-22,29186.26953,13,-0.00033461833572434596,29186.26953
14,2020-01-23,29160.089839999997,14,-0.0008969865084366146,29160.089839999997
15,2020-01-24,28989.73047,15,-0.005842210052669605,28989.73047
16,2020-01-27,28535.80078,16,-0.015658292872703483,28535.80078
17,2020-01-28,28722.84961,17,0.006554882809915563,28722.84961
18,2020-01-29,28734.44922,18,0.0004038460722908255,28734.44922
19,2020-01-30,28859.43945,19,0.0043498390744516335,28859.43945
20,2020-01-31,28256.0293,20,-0.020908588714809717,28256.0293
21,2020-02-03,28399.81055,21,0.00508851574555802,28399.81055
22,2020-02-04,28807.63086,22,0.014359965862518864,28807.63086
23,2020-02-05,29290.84961,23,0.016773984377554507,29290.84961
24,2020-02-06,29379.76953,24,0.003035757623419899,29379.76953
25,2020-02-07,29102.50977,25,-0.009437097854593013,29102.50977
26,2020-02-10,29276.820310000003,26,0.0059895363450641614,29276.820310000003
27,2020-02-11,29276.339839999997,27,-1.6411276734240587e-05,29276.339839999997
28,2020-02-12,29551.41992,28,0.009395986025007241,29551.41992
29,2020-02-13,29423.31055,29,-0.004335134160957876,29423.31055
30,2020-02-14,29398.08008,30,-0.0008574993611655257,29398.08008
31,2020-02-18,29232.18945,31,-0.005642906936390579,29232.18945
32,2020-02-19,29348.0293,32,0.00396274970091226,29348.0293
33,2020-02-20,29219.98047,33,-0.004363115107016702,29219.98047
34,2020-02-21,28992.410160000003,34,-0.007788174609960508,28992.410160000003
35,2020-02-24,27960.80078,35,-0.035582049726355036,27960.80078
36,2020-02-25,27081.35938,36,-0.031452654268366076,27081.35938
37,2020-02-26,26957.589839999997,37,-0.004570285348800107,26957.589839999997
38,2020-02-27,25766.64062,38,-0.044178623796436445,25766.64062
39,2020-02-28,25409.35938,39,-0.013866038855009921,25409.35938
40,2020-03-02,26703.32031,40,0.050924579035962925,26703.32031
41,2020-03-03,25917.41016,41,-0.029431177129897512,25917.41016
42,2020-03-04,27090.85938,42,0.045276484523560256,27090.85938
43,2020-03-05,26121.2793,43,-0.035789934398160916,26121.2793
44,2020-03-06,25864.7793,44,-0.009819580314353149,25864.7793
45,2020-03-09,23851.01953,45,-0.07785721836799109,23851.01953
46,2020-03-10,25018.16016,46,0.04893462220899858,25018.16016
47,2020-03-11,23553.2207,47,-0.0585550436415464,23553.2207
48,2020-03-12,21200.61914,48,-0.0998844952019663,21200.61914
49,2020-03-13,23185.61914,49,0.09362934105329157,23185.61914
50,2020-03-16,20188.51953,50,-0.129265455103995,20188.51953
51,2020-03-17,21237.38086,51,0.051953355392969636,21237.38086
52,2020-03-18,19898.91992,52,-0.06302382336236922,19898.91992
53,2020-03-19,20087.18945,53,0.009461293917303326,20087.18945
54,2020-03-20,19173.98047,54,-0.045462257538473216,19173.98047
55,2020-03-23,18591.92969,55,-0.03035628313644556,18591.92969
56,2020-03-24,20704.91016,56,0.11365041204606663,20704.91016
57,2020-03-25,21200.55078,57,0.02393831299773197,21200.55078
58,2020-03-26,22552.16992,58,0.06375396347132067,22552.16992
59,2020-03-27,21636.7793,59,-0.04058991322108674,21636.7793
60,2020-03-30,22327.48047,60,0.0319225500442204,22327.48047
61,2020-03-31,21917.16016,61,-0.018377367323255345,21917.16016
62,2020-04-01,20943.50977,62,-0.04442411256258294,20943.50977
63,2020-04-02,21413.43945,63,0.022437962173519788,21413.43945
64,2020-04-03,21052.5293,64,-0.01685437553564073,21052.5293
